Date,Open,High,Low,Close,Adj Close,Volume
2010-05-25,41.345001,41.345001,39.500000,40.535000,34.422455,130120
2010-05-26,40.599998,41.000000,40.000000,40.154999,34.099751,140450
2010-05-27,40.695000,41.000000,40.150002,40.439999,34.341770,82470
2010-05-28,41.000000,41.400002,40.230000,41.029999,34.842804,121220
2010-05-31,41.250000,44.299999,41.000000,43.689999,37.101677,149910
2010-06-01,43.400002,44.900002,42.404999,42.665001,36.231262,138340
2010-06-02,42.099998,43.540001,41.605000,41.799999,35.496685,54010
2010-06-03,42.400002,42.900002,41.299999,41.599998,35.326843,36200
2010-06-04,41.990002,41.990002,40.505001,40.799999,34.647484,99620
2010-06-07,40.389999,42.200001,39.799999,41.250000,35.029629,149670
2010-06-08,41.299999,44.200001,41.299999,42.325001,35.942520,528950
2010-06-09,42.400002,42.980000,42.000000,42.264999,35.891571,87510
2010-06-10,42.000000,42.994999,42.000000,42.805000,36.350143,78430
2010-06-11,43.000000,43.380001,42.099998,42.310001,35.929787,59580
2010-06-14,42.299999,44.000000,42.200001,42.544998,36.129341,182220
2010-06-15,42.544998,43.299999,42.205002,42.480000,36.074150,69000
2010-06-16,42.025002,43.950001,42.025002,42.490002,36.082642,150720
2010-06-17,42.889999,43.180000,42.000000,42.029999,35.692009,89020
2010-06-18,42.980000,42.980000,42.000000,42.009998,35.675018,135550
2010-06-21,43.500000,50.415001,43.500000,50.070000,42.519604,11380970
2010-06-22,50.099998,52.580002,49.799999,50.730000,43.080070,18462210
2010-06-23,50.400002,53.200001,49.009998,51.689999,43.895309,11961220
2010-06-24,52.490002,53.500000,51.630001,52.494999,44.578922,12676480
2010-06-25,52.970001,52.970001,51.509998,51.900002,44.073647,1803900
2010-06-28,51.900002,52.700001,50.299999,50.544998,42.922974,1231690
2010-06-29,50.119999,50.330002,46.230000,48.125000,41.276215,816320
2010-06-30,47.500000,49.095001,47.110001,48.470001,41.572109,656670
2010-07-01,48.470001,49.189999,47.939999,48.384998,41.499210,356140
